"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
6,25,32.75555,32.75555,1000,0,NA,-7.75555,7.75555,7.75555,60.1485558025,FALSE,75,67.24445,67.24445,7.75555,67.24445,7.75555,52.5,22.5,17.444355,-9.688805,0.533200000000001
6,25,35.54082,35.54082,1000,0,NA,-10.54082,10.54082,10.54082,111.1088862724,FALSE,75,64.45918,64.45918,10.54082,64.45918,10.54082,52.5,22.5,17.444355,-6.90353499999999,3.31847
6,25,57.19444,57.19444,1000,0,NA,-32.19444,32.19444,32.19444,1036.4819669136,FALSE,75,42.80556,42.80556,32.19444,42.80556,32.19444,52.5,22.5,17.444355,14.750085,24.97209
6,25,49.03569,49.03569,1000,0,NA,-24.03569,24.03569,24.03569,577.7143937761,FALSE,75,50.96431,50.96431,24.03569,50.96431,24.03569,52.5,22.5,17.444355,6.591335,16.81334
6,25,69.67142,69.67142,1000,0,NA,-44.67142,44.67142,44.67142,1995.5357648164,FALSE,75,30.32858,30.32858,44.67142,30.32858,44.67142,52.5,22.5,17.444355,27.227065,37.44907
7,25,43.64994,43.64994,1000,0,NA,-18.64994,18.64994,18.64994,347.8202620036,FALSE,75,56.35006,56.35006,18.64994,56.35006,18.64994,48.75,26.25,21.5554725,-2.90553249999999,11.42759
7,25,23.42364,23.42364,1000,0,NA,1.57636,1.57636,1.57636,2.48491084959999,FALSE,75,76.57636,76.57636,-1.57635999999999,76.57636,1.57635999999999,48.75,26.25,21.5554725,-19.9791125,-5.64599
7,25,43.18761,43.18761,1000,0,NA,-18.18761,18.18761,18.18761,330.7891575121,FALSE,75,56.81239,56.81239,18.18761,56.81239,18.18761,48.75,26.25,21.5554725,-3.36786249999999,10.96526
7,25,46.76667,46.76667,1000,0,NA,-21.76667,21.76667,21.76667,473.7879228889,FALSE,75,53.23333,53.23333,21.76667,53.23333,21.76667,48.75,26.25,21.5554725,0.211197500000004,14.54432
7,25,43.5689,43.5689,1000,0,NA,-18.5689,18.5689,18.5689,344.80404721,FALSE,75,56.4311,56.4311,18.5689,56.4311,18.5689,48.75,26.25,21.5554725,-2.98657249999999,11.34655
0,25,20.43219,20.43219,1000,0,NA,4.56781,4.56781,4.56781,20.8648881961,FALSE,75,79.56781,79.56781,-4.56781000000001,79.56781,4.56781000000001,75,0,7.22235000000001,-2.65454,-2.65454
0,25,13.30835,13.30835,1000,0,NA,11.69165,11.69165,11.69165,136.6946797225,FALSE,75,86.69165,86.69165,-11.69165,86.69165,11.69165,75,0,7.22235000000001,4.4693,4.4693
0,25,16.57694,16.57694,1000,0,NA,8.42306,8.42306,8.42306,70.9479397636,FALSE,75,83.42306,83.42306,-8.42305999999999,83.42306,8.42305999999999,75,0,7.22235000000001,1.20070999999999,1.20071
1,25,29.52246,29.52246,1000,0,NA,-4.52246,4.52246,4.52246,20.4526444516,FALSE,75,70.47754,70.47754,4.52246,70.47754,4.52246,71.25,3.75,3.1112325,1.4112275,-2.69989
1,25,25.94214,25.94214,1000,0,NA,-0.942140000000002,0.942140000000002,0.942140000000002,0.887627779600004,FALSE,75,74.05786,74.05786,0.942139999999995,74.05786,0.942139999999995,71.25,3.75,3.1112325,-2.1690925,-6.28021
1,25,31.4213,31.4213,1000,0,NA,-6.4213,6.4213,6.4213,41.23309369,FALSE,75,68.5787,68.5787,6.4213,68.5787,6.4213,71.25,3.75,3.1112325,3.3100675,-0.801049999999996
1,25,39.58124,39.58124,1000,0,NA,-14.58124,14.58124,14.58124,212.6125599376,FALSE,75,60.41876,60.41876,14.58124,60.41876,14.58124,71.25,3.75,3.1112325,11.4700075,7.35889
1,25,25.72473,25.72473,1000,0,NA,-0.724730000000001,0.724730000000001,0.724730000000001,0.525233572900001,FALSE,75,74.27527,74.27527,0.724729999999994,74.27527,0.724729999999994,71.25,3.75,3.1112325,-2.3865025,-6.49762
2,25,18.39688,18.39688,1000,0,NA,6.60312,6.60312,6.60312,43.6011937344,FALSE,75,81.60312,81.60312,-6.60312,81.60312,6.60312,67.5,7.5,0.999884999999992,5.60323500000001,-0.619229999999998
2,25,20.28143,20.28143,1000,0,NA,4.71857,4.71857,4.71857,22.2649028449,FALSE,75,79.71857,79.71857,-4.71857,79.71857,4.71857,67.5,7.5,0.999884999999992,3.71868500000001,-2.50378
2,25,17.91759,17.91759,1000,0,NA,7.08241,7.08241,7.08241,50.1605314081,FALSE,75,82.08241,82.08241,-7.08241,82.08241,7.08241,67.5,7.5,0.999884999999992,6.08252500000001,-0.139939999999999
2,25,33.79438,33.79438,1000,0,NA,-8.79438,8.79438,8.79438,77.3411195844001,FALSE,75,66.20562,66.20562,8.79438,66.20562,8.79438,67.5,7.5,0.999884999999992,7.79449500000001,1.57203000000001
2,25,17.53135,17.53135,1000,0,NA,7.46865,7.46865,7.46865,55.7807328225,FALSE,75,82.46865,82.46865,-7.46865,82.46865,7.46865,67.5,7.5,0.999884999999992,6.46876500000001,0.246300000000002
3,25,20.06752,20.06752,1000,0,NA,4.93248,4.93248,4.93248,24.3293589504,FALSE,75,79.93248,79.93248,-4.93248,79.93248,4.93248,63.75,11.25,5.1110025,-0.178522499999996,-2.28987
3,25,28.24197,28.24197,1000,0,NA,-3.24197,3.24197,3.24197,10.5103694809,FALSE,75,71.75803,71.75803,3.24196999999999,71.75803,3.24196999999999,63.75,11.25,5.1110025,-1.8690325,-3.98038
3,25,23.26958,23.26958,1000,0,NA,1.73042,1.73042,1.73042,2.9943533764,FALSE,75,76.73042,76.73042,-1.73042,76.73042,1.73042,63.75,11.25,5.1110025,-3.3805825,-5.49193
3,25,18.73536,18.73536,1000,0,NA,6.26464,6.26464,6.26464,39.2457143296,FALSE,75,81.26464,81.26464,-6.26464,81.26464,6.26464,63.75,11.25,5.1110025,1.1536375,-0.957709999999999
3,25,24.03994,24.03994,1000,0,NA,0.960059999999999,0.960059999999999,0.960059999999999,0.921715203599997,FALSE,75,75.96006,75.96006,-0.960059999999999,75.96006,0.960059999999999,63.75,11.25,5.1110025,-4.1509425,-6.26229
4,25,42.48347,42.48347,1000,0,NA,-17.48347,17.48347,17.48347,305.6717232409,FALSE,75,57.51653,57.51653,17.48347,57.51653,17.48347,60,15,9.22211999999999,8.26135000000001,10.26112
4,25,41.36115,41.36115,1000,0,NA,-16.36115,16.36115,16.36115,267.6872293225,FALSE,75,58.63885,58.63885,16.36115,58.63885,16.36115,60,15,9.22211999999999,7.13903000000001,9.1388
4,25,36.88666,36.88666,1000,0,NA,-11.88666,11.88666,11.88666,141.2926859556,FALSE,75,63.11334,63.11334,11.88666,63.11334,11.88666,60,15,9.22211999999999,2.66454000000001,4.66431
4,25,25.20201,25.20201,1000,0,NA,-0.202010000000001,0.202010000000001,0.202010000000001,0.0408080401000005,FALSE,75,74.79799,74.79799,0.202010000000001,74.79799,0.202010000000001,60,15,9.22211999999999,-9.02010999999999,-7.02034
4,25,27.28502,27.28502,1000,0,NA,-2.28502,2.28502,2.28502,5.2213164004,FALSE,75,72.71498,72.71498,2.28502,72.71498,2.28502,60,15,9.22211999999999,-6.93709999999999,-4.93733
5,25,39.74588,39.74588,1000,0,NA,-14.74588,14.74588,14.74588,217.4409769744,FALSE,75,60.25412,60.25412,14.74588,60.25412,14.74588,56.25,18.75,13.3332375,1.4126425,7.52353
5,25,40.66904,40.66904,1000,0,NA,-15.66904,15.66904,15.66904,245.5188145216,FALSE,75,59.33096,59.33096,15.66904,59.33096,15.66904,56.25,18.75,13.3332375,2.33580250000001,8.44669
5,25,54.80416,54.80416,1000,0,NA,-29.80416,29.80416,29.80416,888.2879533056,FALSE,75,45.19584,45.19584,29.80416,45.19584,29.80416,56.25,18.75,13.3332375,16.4709225,22.58181
5,25,40.80869,40.80869,1000,0,NA,-15.80869,15.80869,15.80869,249.9146795161,FALSE,75,59.19131,59.19131,15.80869,59.19131,15.80869,56.25,18.75,13.3332375,2.4754525,8.58634
5,25,43.92269,43.92269,1000,0,NA,-18.92269,18.92269,18.92269,358.0681968361,FALSE,75,56.07731,56.07731,18.92269,56.07731,18.92269,56.25,18.75,13.3332375,5.5894525,11.70034
6,25,54.32434,54.32434,1000,0,NA,-29.32434,29.32434,29.32434,859.9169164356,FALSE,75,45.67566,45.67566,29.32434,45.67566,29.32434,52.5,22.5,17.444355,11.879985,22.10199
6,25,51.37992,51.37992,1000,0,NA,-26.37992,26.37992,26.37992,695.9001792064,FALSE,75,48.62008,48.62008,26.37992,48.62008,26.37992,52.5,22.5,17.444355,8.935565,19.15757
6,25,49.71619,49.71619,1000,0,NA,-24.71619,24.71619,24.71619,610.8900481161,FALSE,75,50.28381,50.28381,24.71619,50.28381,24.71619,52.5,22.5,17.444355,7.271835,17.49384
6,25,37.45718,37.45718,1000,0,NA,-12.45718,12.45718,12.45718,155.1813335524,FALSE,75,62.54282,62.54282,12.45718,62.54282,12.45718,52.5,22.5,17.444355,-4.98717499999999,5.23483
6,25,31.86474,31.86474,1000,0,NA,-6.86474,6.86474,6.86474,47.1246552676,FALSE,75,68.13526,68.13526,6.86474,68.13526,6.86474,52.5,22.5,17.444355,-10.579615,-0.357609999999998
7,25,48.52511,48.52511,1000,0,NA,-23.52511,23.52511,23.52511,553.4308005121,FALSE,75,51.47489,51.47489,23.52511,51.47489,23.52511,48.75,26.25,21.5554725,1.9696375,16.30276
7,25,49.81026,49.81026,1000,0,NA,-24.81026,24.81026,24.81026,615.5490012676,FALSE,75,50.18974,50.18974,24.81026,50.18974,24.81026,48.75,26.25,21.5554725,3.25478750000001,17.58791
