"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
5,25,36.96785,36.96785,382,0.02,NA,-11.96785,11.96785,11.96785,143.2294336225,FALSE,75,63.03215,63.03215,11.96785,63.03215,11.96785,56.25,18.75,16.20673125,-4.23888125,7.874455
6,25,42.74931,42.74931,382,0.02,3804,-17.74931,17.74931,17.74931,315.0380054761,FALSE,75,57.25069,57.25069,17.74931,57.25069,17.74931,52.5,22.5,20.1262825,-2.3769725,13.655915
6,25,46.97852,46.97852,475,0.02,NA,-21.97852,21.97852,21.97852,483.0553413904,FALSE,75,53.02148,53.02148,21.97852,53.02148,21.97852,52.5,22.5,20.1262825,1.8522375,17.885125
6,25,44.13575,44.13575,429,0.02,NA,-19.13575,19.13575,19.13575,366.1769280625,FALSE,75,55.86425,55.86425,19.13575,55.86425,19.13575,52.5,22.5,20.1262825,-0.9905325,15.042355
7,25,44.69879,44.69879,664,0.02,6336,-19.69879,19.69879,19.69879,388.0423274641,FALSE,75,55.30121,55.30121,19.69879,55.30121,19.69879,48.75,26.25,24.04583375,-4.34704375,15.605395
7,25,52.83628,52.83628,616,0.02,NA,-27.83628,27.83628,27.83628,774.8584842384,FALSE,75,47.16372,47.16372,27.83628,47.16372,27.83628,48.75,26.25,24.04583375,3.79044625,23.742885
7,25,45.90547,45.90547,522,0.02,NA,-20.90547,20.90547,20.90547,437.0386759209,FALSE,75,54.09453,54.09453,20.90547,54.09453,20.90547,48.75,26.25,24.04583375,-3.14036375,16.812075
7,25,35.44022,35.44022,496,0.02,NA,-10.44022,10.44022,10.44022,108.9981936484,FALSE,75,64.55978,64.55978,10.44022,64.55978,10.44022,48.75,26.25,24.04583375,-13.60561375,6.346825
0,25,26.00102,26.00102,327,0.02,3384,-1.00102,1.00102,1.00102,1.00204104040001,FALSE,75,73.99898,73.99898,1.00102000000001,73.99898,1.00102000000001,75,0,3.391025,-2.390005,-3.092375
0,25,21.83096,21.83096,383,0.02,NA,3.16904,3.16904,3.16904,10.0428145216,FALSE,75,78.16904,78.16904,-3.16904,78.16904,3.16904,75,0,3.391025,-0.221984999999997,-0.924354999999997
0,25,26.99077,26.99077,383,0.02,NA,-1.99077,1.99077,1.99077,3.96316519289999,FALSE,75,73.00923,73.00923,1.99077,73.00923,1.99077,75,0,3.391025,-1.400255,-2.102625
0,25,28.2301,28.2301,336,0.02,NA,-3.2301,3.2301,3.2301,10.43354601,FALSE,75,71.7699,71.7699,3.23010000000001,71.7699,3.23010000000001,75,0,3.391025,-0.160924999999995,-0.863294999999995
1,25,30.84276,30.84276,293,0.02,3040,-5.84276,5.84276,5.84276,34.1378444176,FALSE,75,69.15724,69.15724,5.84276,69.15724,5.84276,71.25,3.75,0.528526249999999,5.31423375,1.749365
1,25,28.8227,28.8227,337,0.02,NA,-3.8227,3.8227,3.8227,14.61303529,FALSE,75,71.1773,71.1773,3.8227,71.1773,3.8227,71.25,3.75,0.528526249999999,3.29417375,-0.270694999999998
1,25,20.81318,20.81318,334,0.02,NA,4.18682,4.18682,4.18682,17.5294617124,FALSE,75,79.18682,79.18682,-4.18682,79.18682,4.18682,71.25,3.75,0.528526249999999,3.65829375,0.0934250000000016
1,25,31.89986,31.89986,333,0.02,NA,-6.89986,6.89986,6.89986,47.6080680196001,FALSE,75,68.10014,68.10014,6.89986,68.10014,6.89986,71.25,3.75,0.528526249999999,6.37133375000001,2.806465
