"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
2,25,80.9631944444444,80.8009,1000,0,-55.9631944444444,55.9631944444444,55.8009,3131.8791324267,FALSE,75,19.0368055555556,19.1991,55.9631944444444,17.133125,57.866875,67.5,7.5,7.66746524999999,50.19940975,54.4933619444444
3,25,87.6675588235294,87.0761,1000,0,-62.6675588235294,62.6675588235294,62.0761,3927.22292890052,FALSE,75,12.3324411764706,12.9239,62.6675588235294,10.482575,64.517425,63.75,11.25,11.408161625,53.109263375,61.1977263235294
4,25,91.01234,91.44344,1000,0,-66.01234,66.01234,66.44344,4357.6290322756,FALSE,75,8.98765999999999,8.55656,66.01234,7.19012799999999,67.809872,60,15,15.148858,52.661014,64.5425075
5,25,92.8124866666667,91.99244,1000,0,-67.8124866666667,67.8124866666667,66.99244,4598.53334791684,FALSE,75,7.18751333333333,8.00756,67.8124866666667,5.390635,69.609365,56.25,18.75,18.889554375,50.719810625,66.3426541666667
6,25,94.1511357142857,94.484,1000,0,-69.1511357142857,69.1511357142857,69.484,4781.87957057556,FALSE,75,5.84886428571428,5.51600000000001,69.1511357142857,4.094205,70.905795,52.5,22.5,22.63025075,48.27554425,67.6813032142857
7,25,94.4581938461538,100,1000,0,-69.4581938461538,69.4581938461538,75,4824.44069236988,FALSE,75,5.54180615384615,0,69.4581938461538,3.602174,71.397826,48.75,26.25,26.370947125,45.026878875,67.9883613461539
0,25,21.956495,21.917,1000,0,3.043505,3.043505,3.083,9.26292268502502,FALSE,75,78.043505,78.083,-3.04350500000001,78.043505,3.04350500000001,75,0,0.186072499999995,2.85743250000002,1.5736725
1,25,74.6113210526316,74.7074,1000,0,-49.6113210526316,49.6113210526316,49.7074,2461.28317658729,FALSE,75,25.3886789473684,25.2926,49.6113210526316,24.119245,50.880755,71.25,3.75,3.92676887499999,46.953986125,48.1414885526316
2,25,81.8123611111111,82.1278,1000,0,-56.8123611111111,56.8123611111111,57.1278,3227.64437501929,FALSE,75,18.1876388888889,17.8722,56.8123611111111,16.368875,58.631125,67.5,7.5,7.66746524999999,50.96365975,55.3425286111111
3,25,88.4615294117647,89.1611,1000,0,-63.4615294117647,63.4615294117647,64.1611,4027.36571528028,FALSE,75,11.5384705882353,10.8389,63.4615294117647,9.8077,65.1923,63.75,11.25,11.408161625,53.784138375,61.9916969117647
4,25,91.416090625,91.32677,1000,0,-66.416090625,66.416090625,66.32677,4411.09709390821,FALSE,75,8.583909375,8.67323,66.416090625,6.8671275,68.1328725,60,15,15.148858,52.9840145,64.946258125
5,25,93.1788646666667,93.71478,1000,0,-68.1788646666667,68.1788646666667,68.71478,4648.35758723565,FALSE,75,6.82113533333333,6.28522000000001,68.1788646666667,5.1158515,69.8841485,56.25,18.75,18.889554375,50.994594125,66.7090321666667
6,25,93.86336,100,1000,0,-68.86336,68.86336,75,4742.1623504896,FALSE,75,6.13664,0,68.86336,4.295648,70.704352,52.5,22.5,22.63025075,48.07410125,67.3935275
7,25,94.5651,100,1000,0,-69.5651,69.5651,75,4839.30313801,FALSE,75,5.4349,0,69.5651,3.532685,71.467315,48.75,26.25,26.370947125,45.096367875,68.0952675
0,25,23.963355,23.9974,1000,0,1.036645,1.036645,1.0026,1.07463285602501,FALSE,75,76.036645,76.0026,-1.03664500000001,76.036645,1.03664500000001,75,0,0.186072499999995,0.850572500000013,-0.433187499999997
1,25,71.6376105263158,70.7565,1000,0,-46.6376105263158,46.6376105263158,45.7565,2175.06671560432,FALSE,75,28.3623894736842,29.2435,46.6376105263158,26.94427,48.05573,71.25,3.75,3.92676887499999,44.128961125,45.1677780263158
2,25,83.2200333333333,84.5312,1000,0,-58.2200333333333,58.2200333333333,59.5312,3389.57228133444,FALSE,75,16.7799666666667,15.4688,58.2200333333333,15.10197,59.89803,67.5,7.5,7.66746524999999,52.23056475,56.7502008333333
3,25,88.3230647058823,88.3245,1000,0,-63.3230647058823,63.3230647058823,63.3245,4009.81052374536,FALSE,75,11.6769352941177,11.6755,63.3230647058823,9.92539500000001,65.074605,63.75,11.25,11.408161625,53.666443375,61.8532322058823
4,25,91.206644375,90.71516,1000,0,-66.206644375,66.206644375,65.71516,4383.31975939772,FALSE,75,8.793355625,9.28484,66.206644375,7.0346845,67.9653155,60,15,15.148858,52.8164575,64.736811875
5,25,92.7755073333333,93.80038,1000,0,-67.7755073333333,67.7755073333333,68.80038,4593.51939429072,FALSE,75,7.22449266666668,6.19962000000001,67.7755073333333,5.41836950000001,69.5816305,56.25,18.75,18.889554375,50.692076125,66.3056748333333
6,25,94.348825,100,1000,0,-69.348825,69.348825,75,4809.25952888063,FALSE,75,5.65117499999999,0,69.348825,3.9558225,71.0441775,52.5,22.5,22.63025075,48.41392675,67.8789925
7,25,94.4471638461538,94.69428,1000,0,-69.4471638461538,69.4471638461538,69.69428,4822.90856627454,FALSE,75,5.55283615384616,5.30572000000001,69.4471638461538,3.6093435,71.3906565,48.75,26.25,26.370947125,45.019709375,67.9773313461538
0,25,25.861195,25.6318,1000,0,-0.861195000000002,0.861195000000002,0.631800000000005,0.741656828025004,FALSE,75,74.138805,74.3682,0.861195000000009,74.138805,0.861195000000009,75,0,0.186072499999995,0.675122500000015,-0.608637499999999
1,25,71.3323631578947,71.2521,1000,0,-46.3323631578947,46.3323631578947,46.2521,2146.68787579504,FALSE,75,28.6676368421053,28.7479,46.3323631578947,27.234255,47.765745,71.25,3.75,3.92676887499999,43.838976125,44.8625306578947
2,25,82.3511166666667,83.077,1000,0,-57.3511166666667,57.3511166666667,58.077,3289.15058291361,FALSE,75,17.6488833333333,16.923,57.3511166666667,15.883995,59.116005,67.5,7.5,7.66746524999999,51.44853975,55.8812841666667
3,25,88.0790129411765,87.9179,1000,0,-63.0790129411765,63.0790129411765,62.9179,3978.96187363311,FALSE,75,11.9209870588235,12.0821,63.0790129411765,10.132839,64.867161,63.75,11.25,11.408161625,53.458999375,61.6091804411765
4,25,90.328873125,90.23637,1000,0,-65.328873125,65.328873125,65.23637,4267.86166378235,FALSE,75,9.671126875,9.76363000000001,65.328873125,7.7369015,67.2630985,60,15,15.148858,52.1142405,63.859040625
5,25,93.4166046666667,100,1000,0,-68.4166046666667,68.4166046666667,75,4680.83179411496,FALSE,75,6.58339533333333,0,68.4166046666667,4.9375465,70.0624535,56.25,18.75,18.889554375,51.172899125,66.9467721666667
