"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,30.69778,30.9617,244,0.02,-5.69778,5.69778,5.9617,32.4646969284,FALSE,75,69.30222,69.0383,5.69777999999999,69.30222,5.69777999999999,75,0,2.28082999999999,3.41695,3.41695
1,25,24.5700157894737,24.5278,Inf,0.02,0.429984210526314,0.429984210526314,0.472200000000001,0.184886421301937,FALSE,75,75.4299842105263,75.4722,-0.429984210526314,71.658485,3.341515,71.25,3.75,5.9167885,-2.57527349999999,-1.85084578947369
2,25,27.0096055555556,27.19,Inf,0.02,-2.00960555555556,2.00960555555556,2.19,4.03851448891977,FALSE,75,72.9903944444444,72.81,2.00960555555557,65.691355,9.30864500000001,67.5,7.5,9.552747,-0.244101999999984,-0.27122444444444
3,25,30.6058,30.8483,Inf,0.02,-5.6058,5.6058,5.84829999999999,31.4249936399999,FALSE,75,69.3942,69.1517,5.60579999999999,58.98507,16.01493,63.75,11.25,13.1887055,2.8262245,3.32497
4,25,37.63515,36.9981,Inf,0.02,-12.63515,12.63515,11.9981,159.6470155225,FALSE,75,62.36485,63.0019,12.63515,49.89188,25.10812,60,15,16.824664,8.283456,10.35432
5,25,50.5836466666667,50.5855,Inf,0.02,-25.5836466666667,25.5836466666667,25.5855,654.522976764844,FALSE,75,49.4163533333333,49.4145,25.5836466666667,37.062265,37.937735,56.25,18.75,20.4606225,17.4771125,23.3028166666667
6,25,57.9493928571429,100,Inf,0.02,-32.9493928571429,32.9493928571429,75,1085.66248965434,FALSE,75,42.0506071428571,0,32.9493928571429,29.435425,45.564575,52.5,22.5,24.096581,21.467994,30.6685628571429
7,25,64.4370153846154,64.395,Inf,0.02,-39.4370153846154,39.4370153846154,39.395,1555.27818244639,FALSE,75,35.5629846153846,35.605,39.4370153846154,23.11594,51.88406,48.75,26.25,27.7325395,24.1515205,37.1561853846154
0,25,29.622675,30.0435,319,0.02,-4.622675,4.622675,5.0435,21.369124155625,FALSE,75,70.377325,69.9565,4.622675,70.377325,4.622675,75,0,2.28082999999999,2.34184500000001,2.341845
1,25,27.1030315789474,26.7815,Inf,0.02,-2.10303157894737,2.10303157894737,1.7815,4.42274182204985,FALSE,75,72.8969684210526,73.2185,2.10303157894737,69.25212,5.74787999999999,71.25,3.75,5.9167885,-0.168908500000001,-0.177798421052634
