"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
0,25,25.05062,24.8304,1000,0,-0.0506200000000021,0.0506200000000021,0.169600000000003,0.00256238440000021,FALSE,75,74.94938,75.1696,0.0506200000000092,74.94938,0.0506200000000092,75,0,1.94869249999999,-1.89807249999998,-1.9517425
1,25,62.5699736842105,62.8978,1000,0,-37.5699736842105,37.5699736842105,37.8978,1411.50292263227,FALSE,75,37.4300263157895,37.1022,37.5699736842105,35.558525,39.441475,71.25,3.75,5.60125787499999,33.840217125,35.5676111842105
2,25,80.0099055555556,80.9508,1000,0,-55.0099055555556,55.0099055555556,55.9508,3026.08970923114,FALSE,75,19.9900944444444,19.0492,55.0099055555556,17.991085,57.008915,67.5,7.5,9.25382325,47.75509175,53.0075430555556
3,25,87.9356823529412,87.3739,1000,0,-62.9356823529412,62.9356823529412,62.3739,3960.90011323031,FALSE,75,12.0643176470588,12.6261,62.9356823529412,10.25467,64.74533,63.75,11.25,12.906388625,51.838941375,60.9333198529412
4,25,91.101420625,91.33119,1000,0,-66.101420625,66.101420625,66.33119,4369.39780864318,FALSE,75,8.898579375,8.66881000000001,66.101420625,7.1188635,67.8811365,60,15,16.558954,51.3221825,64.099058125
5,25,92.284026,93.24349,1000,0,-67.284026,67.284026,68.24349,4527.14015476868,FALSE,75,7.715974,6.75651000000001,67.284026,5.7869805,69.2130195,56.25,18.75,20.211519375,49.001500125,65.2816635
6,25,93.4926521428572,92.82382,1000,0,-68.4926521428572,68.4926521428572,67.82382,4691.24339756243,FALSE,75,6.50734785714285,7.17618,68.4926521428572,4.55514349999999,70.4448565,52.5,22.5,23.86408475,46.58077175,66.4902896428571
7,25,94.4207623076923,100,1000,0,-69.4207623076923,69.4207623076923,75,4819.24223938111,FALSE,75,5.57923769230769,0,69.4207623076923,3.6265045,71.3734955,48.75,26.25,27.516650125,43.856845375,67.4183998076923
0,25,27.86097,28.0967,1000,0,-2.86096999999999,2.86096999999999,3.0967,8.18514934089997,FALSE,75,72.13903,71.9033,2.86096999999999,72.13903,2.86096999999999,75,0,1.94869249999999,0.912277500000002,0.858607499999996
1,25,65.8528894736842,66.2307,1000,0,-40.8528894736842,40.8528894736842,41.2307,1668.95857834906,FALSE,75,34.1471105263158,33.7693,40.8528894736842,32.439755,42.560245,71.25,3.75,5.60125787499999,36.958987125,38.8505269736842
2,25,81.1119055555556,100,1000,0,-56.1119055555556,56.1119055555556,75,3148.54594507559,FALSE,75,18.8880944444444,0,56.1119055555556,16.999285,58.000715,67.5,7.5,9.25382325,48.74689175,54.1095430555556
3,25,87.6692176470588,86.008,1000,0,-62.6692176470588,62.6692176470588,61.008,3927.43084049443,FALSE,75,12.3307823529412,13.992,62.6692176470588,10.481165,64.518835,63.75,11.25,12.906388625,51.612446375,60.6668551470588
4,25,90.099111875,90.50399,1000,0,-65.099111875,65.099111875,65.50399,4237.89436691377,FALSE,75,9.90088812499999,9.49601,65.099111875,7.9207105,67.0792895,60,15,16.558954,50.5203355,63.096749375
5,25,92.2597606666667,91.84888,1000,0,-67.2597606666667,67.2597606666667,66.84888,4523.87540493728,FALSE,75,7.74023933333334,8.15112000000001,67.2597606666667,5.8051795,69.1948205,56.25,18.75,20.211519375,48.983301125,65.2573981666667
6,25,93.6066992857143,93.89224,1000,0,-68.6066992857143,68.6066992857143,68.89224,4706.87918688043,FALSE,75,6.39330071428572,6.10776,68.6066992857143,4.4753105,70.5246895,52.5,22.5,23.86408475,46.66060475,66.6043367857143
7,25,93.2999076923077,100,1000,0,-68.2999076923077,68.2999076923077,75,4664.87739077775,FALSE,75,6.7000923076923,0,68.2999076923077,4.35506,70.64494,48.75,26.25,27.516650125,43.128289875,66.2975451923077
0,25,27.730955,27.7712,1000,0,-2.730955,2.730955,2.7712,7.45811521202501,FALSE,75,72.269045,72.2288,2.73095499999999,72.269045,2.73095499999999,75,0,1.94869249999999,0.782262500000002,0.728592500000003
1,25,72.4636315789474,72.0496,1000,0,-47.4636315789474,47.4636315789474,47.0496,2252.79632266205,FALSE,75,27.5363684210526,27.9504,47.4636315789474,26.15955,48.84045,71.25,3.75,5.60125787499999,43.239192125,45.4612690789474
2,25,82.0096222222222,80.8064,1000,0,-57.0096222222222,57.0096222222222,55.8064,3250.09702592049,FALSE,75,17.9903777777778,19.1936,57.0096222222222,16.19134,58.80866,67.5,7.5,9.25382325,49.55483675,55.0072597222222
