"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
3,25,56.4542470588235,57.1437,1000,0,-31.4542470588235,31.4542470588235,32.1437,989.369658037509,FALSE,75,43.5457529411765,42.8563,31.4542470588235,37.01389,37.98611,63.75,11.25,11.258177,26.727933,30.0069670588235
4,25,61.8460875,62.4067,1000,0,-36.8460875,36.8460875,37.4067,1357.63416405766,FALSE,75,38.1539125,37.5933,36.8460875,30.52313,44.47687,60,15,15.007696,29.469174,35.3988075
5,25,68.6855733333333,68.7676,1000,0,-43.6855733333333,43.6855733333333,43.7676,1908.42931746204,FALSE,75,31.3144266666667,31.2324,43.6855733333333,23.48582,51.51418,56.25,18.75,18.757215,32.756965,42.2382933333333
6,25,74.64255,73.8323,1000,0,-49.64255,49.64255,48.8323,2464.3827705025,FALSE,75,25.35745,26.1677,49.64255,17.750215,57.249785,52.5,22.5,22.506734,34.743051,48.19527
7,25,78.0926769230769,100,1000,0,-53.0926769230769,53.0926769230769,75,2818.83234285822,FALSE,75,21.9073230769231,0,53.0926769230769,14.23976,60.76024,48.75,26.25,26.256253,34.503987,51.6453969230769
0,25,28.059735,28.1128,1000,0,-3.059735,3.059735,3.1128,9.36197827022498,FALSE,75,71.940265,71.8872,3.05973499999999,71.940265,3.05973499999999,75,0,0.00961999999999819,3.05011499999999,1.612455
1,25,37.1631736842105,37.141,1000,0,-12.1631736842105,12.1631736842105,12.141,147.942794072271,FALSE,75,62.8368263157895,62.859,12.1631736842105,59.694985,15.305015,71.25,3.75,3.75913899999999,11.545876,10.7158936842105
2,25,50.5055,51.0358,1000,0,-25.5055,25.5055,26.0358,650.53053025,FALSE,75,49.4945,48.9642,25.5055,44.54505,30.45495,67.5,7.5,7.508658,22.946292,24.05822
3,25,57.6388647058824,57.6128,1000,0,-32.6388647058824,32.6388647058824,32.6128,1065.29548928889,FALSE,75,42.3611352941176,42.3872,32.6388647058824,36.006965,38.993035,63.75,11.25,11.258177,27.734858,31.1915847058824
4,25,62.9965625,100,1000,0,-37.9965625,37.9965625,75,1443.73876181641,FALSE,75,37.0034375,0,37.9965625,29.60275,45.39725,60,15,15.007696,30.389554,36.5492825
5,25,65.32308,65.4366,1000,0,-40.32308,40.32308,40.4366,1625.9507806864,FALSE,75,34.67692,34.5634,40.32308,26.00769,48.99231,56.25,18.75,18.757215,30.235095,38.8758
6,25,70.1969357142857,70.5049,1000,0,-45.1969357142857,45.1969357142857,45.5049,2042.76299796128,FALSE,75,29.8030642857143,29.4951,45.1969357142857,20.862145,54.137855,52.5,22.5,22.506734,31.631121,43.7496557142857
7,25,74.9283692307692,100,1000,0,-49.9283692307692,49.9283692307692,75,2492.84205404402,FALSE,75,25.0716307692308,0,49.9283692307692,16.29656,58.70344,48.75,26.25,26.256253,32.447187,48.4810892307692
0,25,25.00946,25.1652,1000,0,-0.00945999999999358,0.00945999999999358,0.165199999999999,8.94915999998786e-05,FALSE,75,74.99054,74.8348,0.00945999999999003,74.99054,0.00945999999999003,75,0,0.00961999999999819,-0.000160000000008154,-1.43782
1,25,42.1822368421053,41.7349,1000,0,-17.1822368421053,17.1822368421053,16.7349,295.229262898199,FALSE,75,57.8177631578947,58.2651,17.1822368421053,54.926875,20.073125,71.25,3.75,3.75913899999999,16.313986,15.7349568421053
2,25,45.6552555555555,45.7534,1000,0,-20.6552555555555,20.6552555555555,20.7534,426.639582065308,FALSE,75,54.3447444444445,54.2466,20.6552555555555,48.91027,26.08973,67.5,7.5,7.508658,18.581072,19.2079755555556
3,25,56.0206470588235,55.7245,1000,0,-31.0206470588235,31.0206470588235,30.7245,962.280543948097,FALSE,75,43.9793529411765,44.2755,31.0206470588235,37.38245,37.61755,63.75,11.25,11.258177,26.359373,29.5733670588235
4,25,67.7234625,67.3717,1000,0,-42.7234625,42.7234625,42.3717,1825.29424798891,FALSE,75,32.2765375,32.6283,42.7234625,25.82123,49.17877,60,15,15.007696,34.171074,41.2761825
5,25,69.48512,69.9603,1000,0,-44.48512,44.48512,44.9603,1978.9259014144,FALSE,75,30.51488,30.0397,44.48512,22.88616,52.11384,56.25,18.75,18.757215,33.356625,43.03784
6,25,72.8620571428571,100,1000,0,-47.8620571428571,47.8620571428571,75,2290.77651394612,FALSE,75,27.1379428571429,0,47.8620571428571,18.99656,56.00344,52.5,22.5,22.506734,33.496706,46.4147771428571
7,25,76.1239769230769,76.4825,1000,0,-51.1239769230769,51.1239769230769,51.4825,2613.6610164313,FALSE,75,23.8760230769231,23.5175,51.1239769230769,15.519415,59.480585,48.75,26.25,26.256253,33.224332,49.6766969230769
0,25,24.488105,24.4929,1000,0,0.511894999999996,0.511894999999996,0.507100000000005,0.262036491024995,FALSE,75,75.511895,75.5071,-0.511894999999996,75.511895,0.511894999999996,75,0,0.00961999999999819,0.502274999999997,-0.935385
1,25,40.7200789473684,40.6146,1000,0,-15.7200789473684,15.7200789473684,15.6146,247.120882111496,FALSE,75,59.2799210526316,59.3854,15.7200789473684,56.315925,18.684075,71.25,3.75,3.75913899999999,14.924936,14.2727989473684
2,25,46.3511111111111,46.3426,1000,0,-21.3511111111111,21.3511111111111,21.3426,455.869945679012,FALSE,75,53.6488888888889,53.6574,21.3511111111111,48.284,26.716,67.5,7.5,7.508658,19.207342,19.9038311111111
3,25,55.1914470588235,100,1000,0,-30.1914470588235,30.1914470588235,75,911.523475505744,FALSE,75,44.8085529411765,0,30.1914470588235,38.08727,36.91273,63.75,11.25,11.258177,25.654553,28.7441670588235
4,25,60.18004375,59.8826,1000,0,-35.18004375,35.18004375,34.8826,1237.63547825191,FALSE,75,39.81995625,40.1174,35.18004375,31.855965,43.144035,60,15,15.007696,28.136339,33.73276375
5,25,65.531,65.7631,1000,0,-40.531,40.531,40.7631,1642.761961,FALSE,75,34.469,34.2369,40.531,25.85175,49.14825,56.25,18.75,18.757215,30.391035,39.08372
6,25,71.3841642857143,72.0133,1000,0,-46.3841642857143,46.3841642857143,47.0133,2151.49069648413,FALSE,75,28.6158357142857,27.9867,46.3841642857143,20.031085,54.968915,52.5,22.5,22.506734,32.462181,44.9368842857143
7,25,73.3850692307692,73.3604,1000,0,-48.3850692307692,48.3850692307692,48.3604,2341.11492446633,FALSE,75,26.6149307692308,26.6396,48.3850692307692,17.299705,57.700295,48.75,26.25,26.256253,31.444042,46.9377892307692
0,25,24.818915,24.8252,1000,0,0.181085000000003,0.181085000000003,0.174799999999998,0.0327917772250011,FALSE,75,75.181085,75.1748,-0.181084999999996,75.181085,0.181084999999996,75,0,0.00961999999999819,0.171464999999998,-1.26619499999999
1,25,35.5922368421053,35.7732,1000,0,-10.5922368421053,10.5922368421053,10.7732,112.195481319252,FALSE,75,64.4077631578947,64.2268,10.5922368421053,61.187375,13.812625,71.25,3.75,3.75913899999999,10.053486,9.14495684210527
2,25,44.9989555555556,44.9786,1000,0,-19.9989555555556,19.9989555555556,19.9786,399.958223313086,FALSE,75,55.0010444444444,55.0214,19.9989555555556,49.50094,25.49906,67.5,7.5,7.508658,17.990402,18.5516755555556
3,25,57.5155411764706,100,1000,0,-32.5155411764706,32.5155411764706,75,1057.26041799875,FALSE,75,42.4844588235294,0,32.5155411764706,36.11179,38.88821,63.75,11.25,11.258177,27.630033,31.0682611764706
4,25,63.2164125,62.9433,1000,0,-38.2164125,38.2164125,37.9433,1460.49418437016,FALSE,75,36.7835875,37.0567,38.2164125,29.42687,45.57313,60,15,15.007696,30.565434,36.7691325
