"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
1,25,17.22586,17.22586,1000,0,NA,7.77414,7.77414,7.77414,60.4372527396,FALSE,75,82.77414,82.77414,-7.77414,82.77414,7.77414,71.25,3.75,2.63236125,5.14177875,1.055865
1,25,20.27476,20.27476,1000,0,NA,4.72524,4.72524,4.72524,22.3278930576,FALSE,75,79.72524,79.72524,-4.72524,79.72524,4.72524,71.25,3.75,2.63236125,2.09287875,-1.993035
2,25,26.50095,26.50095,1000,0,NA,-1.50095,1.50095,1.50095,2.2528509025,FALSE,75,73.49905,73.49905,1.50095,73.49905,1.50095,67.5,7.5,1.4535525,0.0473974999999989,-5.217325
2,25,20.57729,20.57729,1000,0,NA,4.42271,4.42271,4.42271,19.5603637441,FALSE,75,79.42271,79.42271,-4.42271,79.42271,4.42271,67.5,7.5,1.4535525,2.9691575,-2.295565
2,25,29.39973,29.39973,1000,0,NA,-4.39973,4.39973,4.39973,19.3576240729,FALSE,75,70.60027,70.60027,4.39973000000001,70.60027,4.39973000000001,67.5,7.5,1.4535525,2.9461775,-2.318545
3,25,25.99415,25.99415,1000,0,NA,-0.994149999999998,0.994149999999998,0.994149999999998,0.988334222499995,FALSE,75,74.00585,74.00585,0.994149999999991,74.00585,0.994149999999991,63.75,11.25,5.53946625,-4.54531625000001,-5.724125
3,25,27.35146,27.35146,1000,0,NA,-2.35146,2.35146,2.35146,5.5293641316,FALSE,75,72.64854,72.64854,2.35146,72.64854,2.35146,63.75,11.25,5.53946625,-3.18800625,-4.366815
3,25,35.87684,35.87684,1000,0,NA,-10.87684,10.87684,10.87684,118.3056483856,FALSE,75,64.12316,64.12316,10.87684,64.12316,10.87684,63.75,11.25,5.53946625,5.33737375,4.158565
4,25,31.96087,31.96087,1000,0,NA,-6.96087,6.96087,6.96087,48.4537111569,FALSE,75,68.03913,68.03913,6.96087,68.03913,6.96087,60,15,9.62537999999999,-2.66450999999999,0.242595000000003
4,25,42.39915,42.39915,1000,0,NA,-17.39915,17.39915,17.39915,302.7304207225,FALSE,75,57.60085,57.60085,17.39915,57.60085,17.39915,60,15,9.62537999999999,7.77377000000001,10.680875
5,25,45.4084,45.4084,1000,0,NA,-20.4084,20.4084,20.4084,416.50279056,FALSE,75,54.5916,54.5916,20.4084,54.5916,20.4084,56.25,18.75,13.71129375,6.69710625,13.690125
5,25,24.66404,24.66404,1000,0,NA,0.33596,0.33596,0.33596,0.1128691216,FALSE,75,75.33596,75.33596,-0.33596,75.33596,0.33596,56.25,18.75,13.71129375,-13.37533375,-6.382315
6,25,21.49948,21.49948,1000,0,NA,3.50052,3.50052,3.50052,12.2536402704,FALSE,75,78.50052,78.50052,-3.50051999999999,78.50052,3.50051999999999,52.5,22.5,17.7972075,-14.2966875,-3.217755
6,25,18.42704,18.42704,1000,0,NA,6.57296,6.57296,6.57296,43.2038031616,FALSE,75,81.57296,81.57296,-6.57295999999999,81.57296,6.57295999999999,52.5,22.5,17.7972075,-11.2242475,-0.145315000000002
7,25,34.97344,34.97344,1000,0,NA,-9.97344,9.97344,9.97344,99.4695054335999,FALSE,75,65.02656,65.02656,9.97344,65.02656,9.97344,48.75,26.25,21.88312125,-11.90968125,3.255165
7,25,22.69596,22.69596,1000,0,NA,2.30404,2.30404,2.30404,5.3086003216,FALSE,75,77.30404,77.30404,-2.30404,77.30404,2.30404,48.75,26.25,21.88312125,-19.57908125,-4.414235
0,25,18.22673,18.22673,1000,0,NA,6.77327,6.77327,6.77327,45.8771864929,FALSE,75,81.77327,81.77327,-6.77327,81.77327,6.77327,75,0,6.71827500000001,0.0549949999999946,0.0549949999999999
0,25,23.70541,23.70541,1000,0,NA,1.29459,1.29459,1.29459,1.6759632681,FALSE,75,76.29459,76.29459,-1.29459,76.29459,1.29459,75,0,6.71827500000001,-5.42368500000001,-5.423685
1,25,15.62137,15.62137,1000,0,NA,9.37863,9.37863,9.37863,87.9587006769,FALSE,75,84.37863,84.37863,-9.37863,84.37863,9.37863,71.25,3.75,2.63236125,6.74626875,2.660355
1,25,20.83616,20.83616,1000,0,NA,4.16384,4.16384,4.16384,17.3375635456,FALSE,75,79.16384,79.16384,-4.16383999999999,79.16384,4.16383999999999,71.25,3.75,2.63236125,1.53147875,-2.554435
2,25,19.6639,19.6639,1000,0,NA,5.3361,5.3361,5.3361,28.47396321,FALSE,75,80.3361,80.3361,-5.3361,80.3361,5.3361,67.5,7.5,1.4535525,3.8825475,-1.382175
2,25,26.3256,26.3256,1000,0,NA,-1.3256,1.3256,1.3256,1.75721535999999,FALSE,75,73.6744,73.6744,1.32559999999999,73.6744,1.32559999999999,67.5,7.5,1.4535525,-0.127952500000003,-5.392675
2,25,22.36155,22.36155,1000,0,NA,2.63845,2.63845,2.63845,6.96141840249999,FALSE,75,77.63845,77.63845,-2.63845000000001,77.63845,2.63845000000001,67.5,7.5,1.4535525,1.1848975,-4.079825
3,25,20.55544,20.55544,1000,0,NA,4.44456,4.44456,4.44456,19.7541135936,FALSE,75,79.44456,79.44456,-4.44456,79.44456,4.44456,63.75,11.25,5.53946625,-1.09490625,-2.273715
3,25,26.16239,26.16239,1000,0,NA,-1.16239,1.16239,1.16239,1.3511505121,FALSE,75,73.83761,73.83761,1.16239,73.83761,1.16239,63.75,11.25,5.53946625,-4.37707625,-5.555885
3,25,22.36034,22.36034,1000,0,NA,2.63966,2.63966,2.63966,6.9678049156,FALSE,75,77.63966,77.63966,-2.63965999999999,77.63966,2.63965999999999,63.75,11.25,5.53946625,-2.89980625,-4.078615
4,25,28.38086,28.38086,1000,0,NA,-3.38086,3.38086,3.38086,11.4302143396,FALSE,75,71.61914,71.61914,3.38086,71.61914,3.38086,60,15,9.62537999999999,-6.24451999999999,-3.337415
4,25,24.24637,24.24637,1000,0,NA,0.753630000000001,0.753630000000001,0.753630000000001,0.567958176900002,FALSE,75,75.75363,75.75363,-0.753630000000001,75.75363,0.753630000000001,60,15,9.62537999999999,-8.87174999999999,-5.964645
