"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
1,25,26.01132,26.01132,1000,0.01,8360,-1.01132,1.01132,1.01132,1.0227681424,FALSE,75,73.98868,73.98868,1.01132,73.98868,1.01132,71.25,3.75,9.09074799999999,-8.07942799999999,-9.96061
2,25,47.63431,47.63431,1000,0.01,9520,-22.63431,22.63431,22.63431,512.3119891761,FALSE,75,52.36569,52.36569,22.63431,52.36569,22.63431,67.5,7.5,12.559656,10.074654,11.66238
2,25,4.66103,4.66103,1000,0.01,7080,20.33897,20.33897,20.33897,413.6737006609,FALSE,75,95.33897,95.33897,-20.33897,95.33897,20.33897,67.5,7.5,12.559656,7.779314,9.36704
3,25,42.72138,42.72138,1000,0.01,7968,-17.72138,17.72138,17.72138,314.0473091044,FALSE,75,57.27862,57.27862,17.72138,57.27862,17.72138,63.75,11.25,16.028564,1.692816,6.74945
3,25,22.95744,22.95744,1000,0.01,8040,2.04256,2.04256,2.04256,4.17205135359999,FALSE,75,77.04256,77.04256,-2.04255999999999,77.04256,2.04255999999999,63.75,11.25,16.028564,-13.986004,-8.92937
4,25,38.62978,38.62978,1000,0.01,6952,-13.62978,13.62978,13.62978,185.7709028484,FALSE,75,61.37022,61.37022,13.62978,61.37022,13.62978,60,15,19.497472,-5.86769199999999,2.65785
5,25,22.20677,22.20677,1000,0.01,9652,2.79323,2.79323,2.79323,7.80213383289999,FALSE,75,77.79323,77.79323,-2.79322999999999,77.79323,2.79322999999999,56.25,18.75,22.96638,-20.17315,-8.1787
6,25,23.36107,23.36107,1000,0.01,5516,1.63893,1.63893,1.63893,2.68609154489999,FALSE,75,76.63893,76.63893,-1.63893,76.63893,1.63893,52.5,22.5,26.435288,-24.796358,-9.333
7,25,57.09765,57.09765,1000,0.01,7028,-32.09765,32.09765,32.09765,1030.2591355225,FALSE,75,42.90235,42.90235,32.09765,42.90235,32.09765,48.75,26.25,29.904196,2.193454,21.12572
0,25,37.7607,37.7607,1000,0.01,9140,-12.7607,12.7607,12.7607,162.83546449,FALSE,75,62.2393,62.2393,12.7607,62.2393,12.7607,75,0,5.62183999999999,7.13886000000001,1.78877
1,25,22.64435,22.64435,1000,0.01,8456,2.35565,2.35565,2.35565,5.5490869225,FALSE,75,77.35565,77.35565,-2.35565,77.35565,2.35565,71.25,3.75,9.09074799999999,-6.73509799999999,-8.61628
2,25,34.75216,34.75216,1000,0.01,9536,-9.75216,9.75216,9.75216,95.1046246655999,FALSE,75,65.24784,65.24784,9.75216,65.24784,9.75216,67.5,7.5,12.559656,-2.807496,-1.21977
