0,10,20,30,40,50,60,70,80,90,100
0.0,8.84014,17.21156,29.820765,40.142725,48.188865,61.68991,69.90243,81.87171,91.0052155,100.0
0.0,11.11162,18.158905,26.9759,44.605615,52.77715,59.974445,66.234765,83.81114,89.9697355,100.0
0.0,10.018925,18.19094,31.184385,36.272975,52.144095,65.91459,69.626395,80.17335,91.6946895,100.0
0.0,8.11223,19.15015,35.787265,41.103565,48.7654,60.24788,68.817495,80.070115,90.1118395,100.0
0.0,8.99786,16.990035,29.99981,41.000115,47.86661,59.23285,71.83505,74.031185,89.12153,100.0
0.0,11.93878,20.009875,30.084765,39.24433,49.37529,59.388525,70.7559,81.92617,89.894507,100.0
0.0,11.86492,21.03614,28.93346,41.784825,49.11594,62.22492,69.84322,81.55999,90.0215825,100.0
0.0,11.743655,19.352565,29.92054,41.005205,51.830275,58.231605,72.050095,79.1469,91.916592,100.0
0.0,10.1246,18.86733,30.00641,43.70594,51.0857,57.98597,68.06553,79.90556,88.796555,100.0
0.0,8.047505,19.786535,28.968395,38.990825,55.16355,59.859465,70.875705,79.94196,90.1355325,100.0
0.0,10.09399,19.275445,29.99139,41.081865,51.123055,58.43269,74.950365,80.612955,90.9172045,100.0
0.0,10.950895,19.1334,28.16666,41.82021,48.013895,57.07982,69.81691,83.015115,90.8330445,100.0
0.0,11.84286,17.92562,33.81522,36.17673,51.603585,58.89033,69.12501,81.93799,89.18513,100.0
0.0,9.967005,19.01539,30.872445,39.222345,49.097175,56.27914,70.71975,80.79488,88.580345,100.0
0.0,10.0673,22.267895,30.04017,40.538175,51.14125,60.94241,68.065295,80.787405,90.900096,100.0
0.0,11.11767,19.325915,33.623145,37.76124,47.17537,59.64186,69.05601,80.041395,90.015789,100.0
0.0,10.72519,22.75309,30.72321,35.18722,50.633645,55.86377,69.9586,79.9595,90.082789,100.0
0.0,10.059285,22.34862,32.682485,41.954815,50.722225,57.30224,69.91493,81.09119,88.28509,100.0
0.0,9.420245,18.4474,28.20484,38.05792,47.812675,57.720055,67.29279,79.106495,90.83149,100.0
