0,1,2,3,4,5,6,7
4.7675,0.34637,9.29514,8.74875,3.54947,19.87853,17.74931,19.69879
3.8051,11.21481,7.17879,12.415,1.87007,7.61937,21.97852,27.83628
10.27533,3.49034,6.32434,7.31746,10.89274,11.40907,19.13575,20.90547
3.4953,0.045259999999999,9.43354,12.4389,1.66042,15.85441,17.803,10.44022
8.37614,2.28663,3.63548,11.86303,19.27943,11.96785,17.05782,10.74358
1.00102,5.84276,4.54266,10.57601,6.59005,7.902,13.7373,28.79387
3.16904,3.8227,6.95596,14.27853,16.04196,33.70051,28.19595,16.35272
1.99077,4.18682,6.39653,1.62923,8.52442,11.94817,18.3748,18.63903
3.2301,6.89986,4.32648,13.11841,7.98984,15.38417,24.99906,12.1132
3.46103,3.40103,2.06074,18.37369,15.14905,6.34219,12.8287,21.79051
8.25699,0.515930000000001,9.42909,3.46792,15.97372,7.5798,14.46524,20.55648
0.260260000000002,4.00244,0.640550000000001,0.259709999999998,1.50096,25.29229,13.29051,25.60735
3.98837,3.09131,0.451699999999999,15.59554,6.5842,11.61467,20.18367,20.552
1.4262,4.24014,17.27875,5.8756,4.96431,17.95695,13.49145,29.71213
11.90781,2.83155,2.87652,1.83726,26.43733,7.55326,26.04075,30.79791
10.01148,1.66127,1.65945,1.40612,16.35487,6.61348,12.4505,22.81844
5.00483,3.73619,3.43682,12.3987,29.11762,3.4006,23.73292,17.31201
10.43671,8.12723,0.0160599999999995,1.87322,15.83744,4.98695,16.69812,33.72843
4.19842,10.69798,8.33642,9.13509,1.18181,8.14954,6.83031,28.12487
5.27248,2.75295,9.54467,17.9224,25.65373,6.18127,18.01897,20.94237
2.08295,4.24173,3.76326,23.59372,19.59924,14.34083,10.98211,13.73225
7.72278,1.78946,9.28927,1.24646,15.14725,8.34719,18.28805,10.05347
9.2965,3.44875,2.8495,0.157530000000001,2.76191,4.52036,4.65447,13.51667
5.58726,7.2802,7.95294999999999,13.8067,6.96862,10.93556,23.13954,25.26008
1.68997,0.960929999999998,7.88714,19.5031,10.60475,19.87564,12.22905,27.88979
8.38802,4.12531,21.57523,3.81251,18.99234,3.26925,18.56887,26.49257
2.92991,3.00601,7.3538,4.04366,1.35809,12.82167,14.49373,32.01089
0.0383299999999984,3.84268,3.11934,12.88345,5.87022,17.44718,5.72063,19.93806
3.61301,2.422,1.71413,5.64742,26.96848,16.40759,14.49373,35.03812
1.84699,13.16874,12.05779,0.848199999999999,7.96892,8.22241,14.49373,27.88979
6.85823,7.099,10.25856,0.787110000000002,8.87303,1.32831,14.49373,27.88979
0.706759999999999,3.75236,8.48588,13.43279,4.83501,17.18206,26.04075,27.88979
9.42649,7.50254,0.144010000000002,4.79179,12.62816,17.18206,26.04075,25.60735
4.26269,4.17251,0.871509999999997,6.95853,9.53713,17.18206,26.04075,20.552
4.7675,1.2885,8.8218,6.95853,14.53136,17.18206,26.04075,16.35272
