0,10,20,30,40,50,60,70,80,90,100
0.0,6.9343,15.73646,24.83775,45.65854,58.13318,65.75271,79.22884,86.65877,91.6694,100.0
0.0,6.17474,15.76065,23.68586,34.05116,52.74737,72.6716,79.29639,87.25699,90.99229,100.0
0.0,7.13788,16.43398,23.98619,32.3144,58.19966,67.9276,73.32273,87.52998,94.38736,100.0
0.0,7.05463,17.29032,23.23318,46.70478,56.24311,57.15727,76.95228,84.64279,92.40992,100.0
0.0,7.21668,11.48266,20.57391,34.11327,55.71382,63.44424,71.96419,86.74208,93.25006,100.0
0.0,6.85845,16.92517,18.97813,47.56532,53.18707,66.32176,76.60694,87.11845,94.29769,100.0
0.0,7.30339,15.67449,26.79307,45.83887,53.52954,61.67981,72.45244,87.40692,92.11512,100.0
0.0,6.80984,16.31493,23.98521,33.53181,59.20793,60.27166,67.93126,87.59131,94.07962,100.0
0.0,6.29306,11.18379,23.52241,48.44025,55.33022,63.90579,75.47483,83.60688,93.97668,100.0
0.0,6.48747,14.85946,25.12671,46.57731,51.16604,62.22668,75.29266,87.21884,91.38193,100.0
0.0,5.97628,18.61313,22.74181,35.87598,54.04884,67.10319,76.28777,84.23739,91.59577,100.0
0.0,8.33177,16.06869,31.45104,43.41795,48.35844,59.44993,74.94851,88.07706,94.14669,100.0
0.0,6.64843,16.43917,27.00965,46.2277,52.88965,71.08675,81.89175,87.22328,94.36957,100.0
0.0,6.07614,18.69652,30.03297,46.2212,50.57346,65.54871,70.81493,87.05107,94.31971,100.0
0.0,5.58758,19.85829,24.84574,46.86646,52.75206,63.60918,76.01979,87.8902,94.16185,100.0
0.0,8.73199,15.27649,24.93716,40.89336,53.50027,63.31362,73.3399,86.79309,94.80212,100.0
0.0,6.19093,16.40889,29.72236,34.93113,51.98941,62.43042,74.59058,85.99221,94.07681,100.0
0.0,8.27976,13.02319,28.23316,44.33881,48.46963,64.06155,75.42732,87.89707,94.3318,100.0
0.0,7.31587,12.54886,25.23255,44.05733,53.21252,64.55954,72.8617,87.65001,91.98873,100.0
0.0,5.83067,12.21194,28.50989,43.47666,57.58409,62.97128,82.02927,88.27989,94.093,100.0
0.0,6.47746,15.86034,25.29463,46.4136,51.9489,66.57201,76.77922,87.57425,94.99289,100.0
0.0,6.58058,16.67319,22.81839,52.99903,54.30038,66.30085,76.89691,84.56454,91.81264,100.0
0.0,7.03347,16.35514,20.5154,42.2244,57.68236,65.39191,74.10471,87.39062,93.07428,100.0
0.0,7.20504,11.90254,18.60377,52.37194,62.88968,60.15329,74.62246,88.91617,94.53035,100.0
0.0,7.2268,16.48166,17.87275,46.22617,55.4291,74.12733,70.43611,84.01966,93.29731,100.0
0.0,7.10957,16.40307,22.7779,42.9834,51.08117,61.47148,82.32517,87.74573,92.76394,100.0
0.0,7.81203,18.15057,22.43461,31.82107,51.24855,70.17569,72.4629,88.52575,94.48108,100.0
0.0,7.61723,15.62444,20.88499,33.96633,50.65568,62.58834,71.97448,86.88143,94.1208,100.0
0.0,6.17045,16.94458,27.39649,33.94272,52.92397,65.69741,72.04097,87.59263,94.1208,100.0
0.0,7.04096,15.07804,25.50343,44.25554,60.97258,63.57236,72.04097,83.41108,94.1208,100.0
